dt,symbol,close,open,high,low,pre_close,return,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2024-09-18,GOOGL,159.32,159.02,160.55,158.38,158.06,1.580645161290323,20668098,3292151265.5678,159.29,0.17,5859000320,12310000000.0,933455989572.4,1966589000000.0
2024-09-17,GOOGL,158.06,157.31,158.25,156.6,157.46,-0.525,18379774,2899696072.9744,157.77,0.15,5859000320,12310000000.0,926073590579.2,1950912000000.0
2024-09-14,GOOGL,157.46,155.43,158.38,155.21,154.69,3.7105263157894735,27509196,4323158180.8272,157.15,0.22,5859000320,12310000000.0,922558248977.2,1943414000000.0
2024-09-13,GOOGL,154.69,153.8,154.82,152.65,151.16,0.3072625698324021,28757922,4428783255.4284,154.0,0.23,5859000320,12310000000.0,906328818090.8,1908980000000.0
2024-09-12,GOOGL,151.16,149.92,151.5,147.52,148.66,-0.28205128205128205,29607692,4435842476.1321,149.82,0.24,5859000320,12310000000.0,885646546961.2,1866308000000.0
2024-09-11,GOOGL,148.66,150.45,151.27,148.34,148.71,-1.0178571428571428,28875426,4315862948.3017,149.46,0.23,5859000320,12310000000.0,870999046161.2,1837544000000.0
2024-09-10,GOOGL,148.71,152.51,153.4,147.22,150.72,43.333333333333336,37857727,5651735013.1349,149.29,0.31,5859000320,12310000000.0,871291996177.2,1835255000000.0
2024-09-07,GOOGL,150.92,157.3,157.83,150.55,157.24,2.022556390977443,37912129,5773854603.6666,152.3,0.31,5859000320,12310000000.0,884240328294.4,1864582000000.0
2024-09-06,GOOGL,157.24,156.3,159.45,155.98,156.45,-1.126865671641791,18635262,2935251485.1298,157.51,0.15,5859000320,12310000000.0,921269268906.8,1943219000000.0
2024-09-05,GOOGL,156.45,156.66,159.0,155.96,157.36,-2.1372549019607843,19353758,3040750205.1636,157.11,0.16,5859000320,12310000000.0,916640600064.0,1933494000000.0
2024-09-04,GOOGL,157.36,161.72,161.85,156.48,163.38,5.344827586206898,33973778,5382886923.3872,158.44,0.28,5859000320,12310000000.0,921972348945.2,1944082000000.0
2024-08-31,GOOGL,163.38,162.62,163.66,161.69,161.78,-1.2690217391304348,22123813,3603431750.2822,162.88,0.18,5859000320,12310000000.0,957243530871.6,2020869000000.0
2024-08-30,GOOGL,161.78,164.31,165.97,160.25,162.85,-1.6666666666666667,19699766,3210155668.764,162.95,0.16,5859000320,12310000000.0,947869071769.6,2000558000000.0
2024-08-29,GOOGL,162.85,165.04,165.6,161.53,164.68,0.6818181818181819,16218051,2639998668.8565,162.78,0.13,5859000320,12310000000.0,954138260702.0,2013898000000.0
