dt,symbol,close,open,high,low,pre_close,return,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-05-01,QCOM,148.46,145.2,148.85,143.88,146.88,-1.1209406494960805,10851868,1597313689.1087,147.19,0.98,1106000000,1106000000.0,154344964796.4,164196800000.0
2025-04-30,QCOM,146.88,146.66,148.26,145.52,147.62,-1.4629629629629628,6691949,983562655.0925,146.98,0.61,1106000000,1106000000.0,152702333596.4,162449300000.0
2025-04-29,QCOM,147.62,148.18,149.3,145.44,148.56,0.26,5730004,842506554.1368,147.03,0.52,1106000000,1106000000.0,153471656800.0,163267690000.0
2025-04-26,QCOM,148.56,146.08,149.2,146.08,147.21,-2.4603174603174605,5145633,761104984.8024,147.91,0.47,1106000000,1106000000.0,154448918400.0,164307300000.0
2025-04-25,QCOM,147.21,142.78,147.82,141.99,140.46,4.228260869565217,8648430,1266760709.0313,146.47,0.78,1106000000,1106000000.0,153045414796.4,162814200000.0
2025-04-24,QCOM,140.46,142.58,143.88,139.78,138.74,-0.7422037422037422,9008160,1274809580.352,141.52,,1106000000,,146027844796.4,
2025-04-23,QCOM,138.74,136.75,139.1,136.49,136.14,0.5403225806451613,8227961,1137577400.2371,138.26,0.74,1106000000,1106000000.0,144239663996.4,153446440000.0
2025-04-22,QCOM,136.14,134.73,136.55,133.36,136.66,-1.198952879581152,8128289,1097599522.2534,135.03,0.73,1106000000,1106000000.0,141536589600.0,150570750000.0
2025-04-18,QCOM,136.66,137.38,138.15,135.71,135.74,-2.7894736842105265,7135856,976605474.077,136.86,0.65,1106000000,1106000000.0,142077212796.4,151145900000.0
2025-04-17,QCOM,135.74,133.68,137.31,131.79,138.6,-4.029411764705882,10417223,1407573088.3154,135.12,0.94,1106000000,1106000000.0,141120743996.4,150128400000.0
2025-04-16,QCOM,138.6,139.46,140.84,138.03,139.19,-0.7961165048543689,6346797,882369165.0423,139.03,0.57,1106000000,1106000000.0,144094114396.4,153291600000.0
2025-04-15,QCOM,139.19,142.75,143.11,136.83,139.25,-0.9047619047619048,6930332,967168719.5588,139.56,0.63,1106000000,1106000000.0,144707501996.4,153944100000.0
2025-04-12,QCOM,139.25,134.0,140.65,131.11,134.4,-91.25,10955262,1503394986.3648,137.23,0.99,1106000000,1106000000.0,144769870000.0,154010400000.0
2025-04-11,QCOM,134.4,137.01,139.06,129.29,143.59,-2.772853185595568,14898762,2001069112.8582,134.31,1.35,1106000000,1106000000.0,139727616000.0,148646400000.0
2025-04-10,QCOM,143.59,125.16,144.86,124.19,124.66,-3.3734374999999996,21242586,2943940105.6321,138.59,1.92,1106000000,1106000000.0,149281907600.0,158810500000.0
2025-04-09,QCOM,124.66,131.13,135.29,121.74,129.72,-1.2567478604344964,14965907,1920820435.8439,128.35,1.35,1106000000,1106000000.0,129601532796.4,137873940000.0
2025-04-08,QCOM,129.72,124.59,137.2,120.8,127.46,-1.4538461538461538,17938325,2307928929.3907,128.66,1.62,1106000000,1106000000.0,134862111196.4,143470300000.0
2025-04-05,QCOM,127.46,134.34,135.86,126.68,139.42,-5.8474576271186445,19018563,2475931624.155,130.19,1.72,1106000000,1106000000.0,132512524796.4,140970800000.0
2025-04-04,QCOM,139.42,147.0,147.4,138.56,154.08,0.10839160839160833,16464973,2321546374.5243,141.0,1.49,1106000000,1106000000.0,144946608800.0,154198500000.0
2025-04-03,QCOM,154.08,150.79,155.46,150.37,153.05,-1.0704521556256572,5377180,826218816.8758,153.65,0.49,1106000000,1106000000.0,160187741596.4,170412400000.0
2025-04-02,QCOM,153.05,152.39,153.32,150.27,153.61,-1.537313432835821,5708942,869801272.5534,152.36,0.52,1106000000,1106000000.0,159116912396.4,169273300000.0
2025-04-01,QCOM,153.61,150.81,153.85,147.88,152.72,-2.611111111111111,8613590,1308606740.365,151.92,0.78,1106000000,1106000000.0,159699110796.4,169892600000.0
2025-03-29,QCOM,152.72,156.92,157.64,151.56,157.97,-6.724137931034483,8917984,1365838387.6918,153.16,0.81,1106000000,1106000000.0,158773831196.4,168908250000.0
2025-03-28,QCOM,157.97,158.21,159.25,155.75,158.39,-0.9186746987951807,6101988,963341592.3192,157.87,0.55,1106000000,1106000000.0,164231941196.4,174714750000.0
2025-03-27,QCOM,158.39,159.45,160.81,156.85,160.15,3.0740740740740744,5965133,945036992.4157,158.43,0.54,1106000000,1106000000.0,164668579600.0,175179320000.0
2025-03-26,QCOM,160.15,159.88,161.47,159.42,160.08,-1.0363636363636364,3971839,637165232.3857,160.42,0.36,1106000000,1106000000.0,166498346000.0,177125820000.0
2025-03-25,QCOM,160.08,160.0,161.0,158.8,156.82,51.0,6028367,965550882.8193,160.17,0.55,1106000000,1106000000.0,166425581596.4,177048440000.0
2025-03-22,QCOM,156.82,154.98,157.42,153.56,157.95,-1.3461538461538463,10949254,1711074960.1928,156.27,0.99,1106000000,1106000000.0,163036355196.4,173442880000.0
2025-03-21,QCOM,157.95,158.0,159.12,156.52,158.26,-0.7222222222222222,5089254,803222250.8759,157.83,0.46,1106000000,1106000000.0,164211138000.0,174692600000.0
2025-03-20,QCOM,158.26,156.43,160.52,155.06,156.29,-7.3,5870969,927279043.8639,157.94,0.53,1106000000,1106000000.0,164533426400.0,175035500000.0
2025-03-19,QCOM,156.29,157.95,159.73,155.92,157.95,-1.8333333333333335,6898367,1084758553.0362,157.25,0.62,1106000000,1106000000.0,162485335600.0,172856690000.0
2025-03-18,QCOM,157.95,155.6,158.72,155.44,156.58,-1.8285714285714285,5781410,909179969.2861,157.26,0.52,1106000000,1106000000.0,164211138000.0,174692630000.0
2025-03-15,QCOM,156.58,153.56,156.95,153.54,151.94,2.5057471264367814,5309434,829105285.138,156.16,0.48,1106000000,1106000000.0,162786841596.4,173177440000.0
2025-03-14,QCOM,151.94,152.6,155.63,150.42,152.8,-1.1836065573770491,5861711,894103250.2379,152.53,0.53,1106000000,1106000000.0,157962911996.4,168045570000.0
2025-03-13,QCOM,152.8,154.21,155.86,151.92,153.1,-0.6428571428571428,7098766,1089780621.1331,153.52,0.64,1106000000,1106000000.0,158857002396.4,168996800000.0
2025-03-12,QCOM,153.1,154.85,156.23,150.86,154.98,5.05,8692938,1332481440.971,153.28,0.79,1106000000,1106000000.0,159168894396.4,169328570000.0
2025-03-11,QCOM,154.98,157.35,159.26,152.61,161.22,2.1983471074380168,10139922,1579803903.5688,155.8,0.92,1106000000,1106000000.0,161123407200.0,171407820000.0
2025-03-08,QCOM,161.22,155.22,161.82,155.22,156.04,-1.8578811369509043,8712727,1387697898.2348,159.27,0.79,1106000000,1106000000.0,167610771196.4,178309300000.0
2025-03-07,QCOM,156.04,154.11,157.88,154.09,157.64,-1.3072289156626506,7782496,1213488801.7984,155.93,,1106000000,,162225425600.0,
2025-03-06,QCOM,157.64,154.21,158.3,152.21,153.63,-3.5588235294117645,6780984,1063113178.1424,155.94,0.61,1106000000,1106000000.0,164772553996.4,175289900000.0
2025-03-05,QCOM,154.46,155.27,157.2,151.35,153.62,-0.789272030651341,8946645,1379185269.2715,154.16,0.81,1106000000,1106000000.0,160582804796.4,170832690000.0
2025-03-04,QCOM,153.62,158.99,160.08,152.52,157.17,-5.1090909090909085,9574238,1487303300.1434,155.34,0.87,1106000000,1106000000.0,159709496800.0,169903630000.0
2025-03-01,QCOM,157.17,155.1,157.31,153.4,154.44,-1.7831858407079646,9905082,1548352612.2088,156.32,0.9,1106000000,1106000000.0,163400218800.0,173829940000.0
2025-02-28,QCOM,154.44,162.34,163.25,154.1,162.1,-3.672316384180791,9032945,1416698278.7055,156.84,0.82,1106000000,1106000000.0,160562011996.4,170810570000.0
2025-02-27,QCOM,162.1,161.83,164.14,160.93,161.22,-1.1162790697674418,7291274,1183898741.928,162.37,0.66,1106000000,1106000000.0,168525654396.4,179282570000.0
2025-02-26,QCOM,161.22,161.66,163.33,159.44,161.1,-0.8727272727272727,8218621,1324711933.1744,161.18,0.74,1106000000,1106000000.0,167610771196.4,178309250000.0
2025-02-25,QCOM,161.1,165.91,166.59,160.99,165.43,-38.42857142857142,9812160,1597745509.8336,162.83,0.89,1106000000,1106000000.0,167486014396.4,
2025-02-22,QCOM,165.43,174.98,175.43,165.21,173.7,0.8167938931297709,12440965,2086906066.0452,167.74,1.12,1106000000,1106000000.0,171987645200.0,
2025-02-21,QCOM,173.7,176.0,176.39,172.9,175.22,-0.8172268907563025,6305422,1095847663.779,173.79,0.57,1106000000,1106000000.0,180585468000.0,192112190000.0
2025-02-20,QCOM,175.22,173.99,176.5,173.35,173.64,-2.045977011494253,6837422,1198541274.7708,175.29,0.62,1106000000,1106000000.0,182165731196.4,193793250000.0
2025-02-19,QCOM,173.64,173.26,173.72,171.24,172.23,-0.098901098901099,7223086,1251078294.4039,173.21,0.65,1106000000,1106000000.0,180523089600.0,192045820000.0
2025-02-15,QCOM,172.23,172.6,172.82,171.04,172.15,-0.9390243902439024,4668141,803252203.5065,172.07,0.42,1106000000,1106000000.0,179057197200.0,190486320000.0
2025-02-14,QCOM,172.15,170.19,172.36,169.47,170.29,20.8,6322324,1084614976.86,171.55,0.57,1106000000,1106000000.0,178974026000.0,190397880000.0
2025-02-13,QCOM,170.29,169.55,170.93,168.24,171.99,-1.9082568807339448,5455531,926393899.1542,169.81,0.49,1106000000,1106000000.0,177040295600.0,188340690000.0
2025-02-12,QCOM,171.99,169.65,172.7,169.11,171.36,-1.3737373737373737,6577801,1129761659.6137,171.75,0.59,1106000000,1106000000.0,178807693996.4,190220940000.0
2025-02-11,QCOM,171.36,169.73,171.8,169.0,167.96,4.45945945945946,6199379,1058464054.2547,170.74,0.56,1106000000,1106000000.0,178152720796.4,189524130000.0
2025-02-08,QCOM,167.96,169.83,171.3,166.06,169.32,-1.396039603960396,7775649,1306872766.5525,168.07,0.7,1106000000,1106000000.0,174617944796.4,185763750000.0
2025-02-07,QCOM,169.32,167.84,169.49,165.4,175.86,3.6500000000000004,16174704,2715820145.0016,167.91,1.46,1106000000,1106000000.0,176031855196.4,187267880000.0
2025-02-06,QCOM,175.86,173.0,177.0,169.9,173.04,-1.4381720430107525,13003137,2262115564.1967,173.97,1.18,1105391695,1105392000.0,182730542864.42,194394130000.0
2025-02-05,QCOM,173.04,168.5,173.79,168.5,170.24,0.006134969325153339,5420988,936179745.2651,172.7,0.49,1105391695,1105392000.0,179800360168.63,191276880000.0
2025-02-04,QCOM,170.24,168.88,172.58,168.06,172.93,-1.951219512195122,7396914,1260625799.6417,170.43,0.67,1105391695,1105392000.0,176890979618.07,188181820000.0
2025-02-01,QCOM,172.93,172.51,176.79,172.29,171.93,-1.3717948717948718,7783969,1355912211.4598,174.19,0.7,1105391695,1105392000.0,179686062667.37,191155320000.0
2025-01-31,QCOM,171.93,172.34,173.54,170.97,171.71,-0.7758620689655172,5872223,1011354763.3987,172.23,0.53,1105391695,1105392000.0,178646994474.07,190049940000.0
2025-01-30,QCOM,171.71,171.55,173.49,170.22,171.55,-0.3076923076923077,5063621,868615065.4263,171.54,0.46,1105391695,1105392000.0,178418409862.22,189806750000.0
2025-01-29,QCOM,171.55,170.22,173.49,169.81,171.18,1.4444444444444446,8677535,1485669486.5545,171.21,0.79,1105391695,1105392000.0,178252158951.3,189629880000.0
2025-01-28,QCOM,171.18,172.1,172.2,167.28,172.11,-3.4545454545454546,15548231,2650116833.4542,170.44,1.41,1105391695,1105392000.0,177867693329.09,189220880000.0
2025-01-25,QCOM,172.11,175.1,175.2,171.94,174.36,1.3888888888888888,5702145,985902581.1435,172.9,0.52,1105391695,1105392000.0,178834037139.54,190248940000.0
2025-01-24,QCOM,174.36,170.38,174.38,169.38,170.24,-2.875968992248062,7050762,1218454872.5916,172.81,0.63,1111000000,1111000000.0,182091132843.4,193713880000.0
2025-01-23,QCOM,170.24,168.32,172.09,168.19,167.27,-0.2644628099173554,7211180,1229974195.582,170.56,0.65,1111000000,1111000000.0,177788452043.4,189136570000.0
2025-01-22,QCOM,167.27,166.0,168.68,165.35,164.56,-0.0730337078651686,7221820,1208053844.7242,167.28,0.65,1111000000,1111000000.0,174686762243.4,185836940000.0
2025-01-18,QCOM,164.56,165.38,165.61,163.1,161.43,0.17575757575757578,7933840,1307615918.9384,164.82,0.71,1111000000,1111000000.0,171856590400.0,182826130000.0
2025-01-17,QCOM,161.43,165.35,165.84,161.28,164.41,-1.9329896907216495,7153133,1163625896.3888,162.67,0.64,1111000000,1111000000.0,168587806200.0,179348630000.0
2025-01-16,QCOM,164.41,162.1,165.45,162.09,159.53,-2.6906077348066297,9243774,1519894598.6664,164.42,0.83,1111000000,1111000000.0,171699949843.4,182659440000.0
2025-01-15,QCOM,159.53,160.14,161.01,156.56,157.13,-0.5,6458754,1026617075.2613,158.95,0.58,1111000000,1111000000.0,166603560200.0,177237750000.0
2025-01-14,QCOM,157.13,155.22,157.37,154.8,156.98,-0.934640522875817,5664020,887265957.6302,156.65,0.51,1111000000,1111000000.0,164097154643.4,174571380000.0
2025-01-11,QCOM,156.98,157.7,158.28,155.55,159.08,-14.2,6139324,962831472.178,156.83,0.55,1111000000,1111000000.0,163940493200.0,174404750000.0
2025-01-09,QCOM,159.08,160.05,160.19,156.94,160.52,-0.31818181818181823,7682051,1219352058.7179,158.73,0.69,1111000000,1111000000.0,166133617643.4,176737820000.0
2025-01-08,QCOM,160.52,162.0,163.45,159.25,159.85,-1.4666666666666666,7527535,1212428446.803,161.07,0.68,1111000000,1111000000.0,167637467243.4,178337690000.0
