dt,symbol,close,open,high,low,pre_close,return,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-04-08,ADBE,340.7,335.54,358.36,332.01,349.07,10.428571428571429,7690910,2619982862.5997,340.66,1.8,426200000,426200000.0,136493943574.88,145206300000.0
2025-04-05,ADBE,349.07,359.0,361.73,348.8,367.25,1.0625,5867563,2080304679.5729,354.54,1.38,426200000,426200000.0,139847244003.96,148773600000.0
2025-04-04,ADBE,367.25,371.88,376.01,366.29,385.78,-0.030303030303030387,5324422,1967399965.4236,369.5,1.25,426200000,426200000.0,147130633000.0,156521900000.0
2025-04-03,ADBE,385.78,378.28,388.0,376.54,383.2,-1.1395833333333334,2859064,1098064156.4994,384.06,0.67,426200000,426200000.0,154554281858.84,164419400000.0
2025-04-02,ADBE,383.2,381.13,384.0,375.53,383.53,-1.1343283582089552,3847766,1463627814.1131,380.38,0.9,426200000,426200000.0,153520633574.88,163319800000.0
2025-04-01,ADBE,383.53,380.0,384.8,374.67,385.71,5.333333333333333,3960737,1509046619.2834,381.0,0.93,426200000,426200000.0,153652868858.84,163460400000.0
2025-03-29,ADBE,385.71,393.89,396.92,384.75,396.15,3.6315789473684212,3830307,1484701262.8527,387.62,0.9,426200000,426200000.0,154526213861.16,164389500000.0
2025-03-28,ADBE,396.15,397.44,401.48,392.51,397.81,-0.8409090909090909,2729696,1084658981.9101,397.36,0.64,426200000,426200000.0,158708746143.48,168839070000.0
2025-03-27,ADBE,397.81,403.0,404.5,397.01,403.64,2.4285714285714284,3426315,1366201305.207,398.74,0.79,434897366,434897000.0,162626154426.56,173006500000.0
2025-03-26,ADBE,403.64,393.57,404.32,392.99,394.47,-2.611111111111111,3643383,1463837656.6296,401.78,0.84,434897366,434897000.0,165009413563.15,175541940000.0
2025-03-25,ADBE,394.47,392.47,396.86,391.38,387.26,-0.1982758620689654,5213957,2055691653.7751,394.27,1.2,434897366,434897000.0,161260717951.99,171553940000.0
2025-03-22,ADBE,387.26,384.13,389.85,382.45,389.61,-1.3225806451612903,7607266,2941484275.7262,386.67,1.75,434897366,434897000.0,158313256807.77,168418380000.0
2025-03-21,ADBE,389.61,386.9,397.82,385.8,387.89,-1.7333333333333334,4009500,1570883167.755,391.79,0.92,434897366,434897000.0,159273985969.61,169440400000.0
2025-03-20,ADBE,387.89,394.1,395.26,387.0,391.37,-3.022727272727273,4349930,1695746305.1893,389.83,1.0,434897366,434897000.0,158570758059.52,168692250000.0
2025-03-19,ADBE,391.37,395.36,395.95,384.57,399.34,1.2471910112359552,4297270,1672830909.1793,389.28,0.99,434897366,434897000.0,159993484259.96,170205820000.0
2025-03-18,ADBE,399.34,394.12,399.94,387.13,394.74,-1.585,4258531,1680717240.4005,394.67,0.98,434897366,434897000.0,163251636082.45,173671940000.0
2025-03-15,ADBE,394.74,379.75,396.36,377.8,377.84,2.8205128205128207,6134774,2393918872.0088,390.22,1.41,434897366,434897000.0,161371103079.55,171671380000.0
2025-03-14,ADBE,377.84,405.27,405.77,374.5,438.6,-4.098434004474273,14386637,5538465511.0037,384.97,3.31,434897366,434897000.0,154462360315.59,164321630000.0
2025-03-13,ADBE,438.6,436.69,443.9,435.5,433.66,-1.0823104693140795,4933922,2164207799.8225,438.64,1.13,434897366,434897000.0,179301266524.3,190746000000.0
2025-03-12,ADBE,433.66,432.88,441.33,431.0,435.08,-1.2894736842105263,3145227,1372968391.9433,436.52,0.72,434897366,434897000.0,177281703530.9,188597570000.0
2025-03-11,ADBE,435.08,443.11,444.54,433.23,449.4,8.666666666666666,4001634,1751472024.1691,437.69,0.92,434897366,434897000.0,177862269943.61,189215190000.0
2025-03-08,ADBE,449.4,442.0,452.51,440.99,444.78,-1.3260188087774294,3030404,1357868848.7432,448.08,0.7,434897366,434897000.0,183716266911.26,195442800000.0
2025-03-07,ADBE,444.78,444.73,452.19,441.19,451.24,-2.375,2662783,1187374348.8884,445.91,,434897366,,181827643686.62,
2025-03-06,ADBE,451.24,443.65,453.26,443.11,446.03,-1.8181818181818181,2398433,1078444053.8619,449.65,0.55,434897366,434897000.0,184468502187.81,196243100000.0
2025-03-05,ADBE,446.03,439.25,448.82,434.7,440.72,0.025641025641025772,2803531,1240065569.6656,442.32,0.64,434897366,434897000.0,182338648091.67,193977250000.0
